Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-11-15,Clifford the Big Red Dog,2021,https://boxd.it/2hP5dv,1,,Young girl’s love prevents the cure for world hunger and a responsible habitat for a dog on two separate occasions,saw in theatres,2021-11-14
2021-11-16,Venom,2018,https://boxd.it/2i3xrj,1.5,,Infinite venom sequels!! Venom forever!!,,2021-11-15
2021-11-16,Venom: Let There Be Carnage,2021,https://boxd.it/2i5uq7,1.5,,Why is this movie so horny,saw in theatres,2021-11-16
2021-11-17,Home Alone,1990,https://boxd.it/2iesFx,4,,Pre 9/11 airports were just like that huh,,2021-11-17
2021-11-19,Ghostbusters: Afterlife,2021,https://boxd.it/2ivbHb,2,,Okay but could you not play the quirky ghostbuster song during the height of conflict,saw in theatres,2021-11-19
2021-11-19,Home Alone 3,1997,https://boxd.it/2ivJVB,1,,Scarlet Johansson needs to reconsider her roles,,2021-11-19
2021-11-20,Home Alone 2: Lost in New York,1992,https://boxd.it/2iE0BJ,3.5,,"You know how Super Mario Galaxy 2 was just the first game again with everything improved sans the emotional beats?

Yeah that",,2021-11-20
2021-11-21,King Richard,2021,https://boxd.it/2iNY7H,3,,"Richard Williams plans shit like he’s a death note character 

Really seems like Will Smith desperately wants that Oscar despite not being anywhere as charismatic as he thinks he is",saw in theatres,2021-11-21
2021-11-22,No Time to Die,2021,https://boxd.it/2iZ2an,2.5,,The guy next to me literally fell asleep,saw in theatres,2021-11-21
2021-11-23,Robots,2005,https://boxd.it/2j8B5v,2,,Bigweld canonically fucks,,2021-11-23
2021-11-23,Anomalisa,2015,https://boxd.it/2j9cNz,4.5,,I was wondering why Charlie Kaufmann choose to make this movie animated till I saw Tom Nooman's character credit. I'll definitely have to watch an analysis of this bad boy after a second watch.,,
2021-11-24,Encanto,2021,https://boxd.it/2jeg0r,3,,They pussied out in the ending because they made the house a character,saw in theatres,2021-11-23
2021-11-24,Far from the Tree,2021,https://boxd.it/2jepXR,3.5,,Raccoons have little hands :),,2021-11-23
2021-11-24,Resident Evil: Welcome to Raccoon City,2021,https://boxd.it/2jggfP,1,,This movie had a nickel for its cg budget,saw in theatres,2021-11-24
2021-11-26,Free Birds,2013,https://boxd.it/2js0ut,1,,"The protagonists are saved by, I shit you not, Chuck E. Cheese pizza",,2021-11-25
2021-11-27,21 Jump Street,2012,https://boxd.it/2jHUqx,3,,Shoulda jumped more,,2021-11-27
2021-11-28,Klaus,2019,https://boxd.it/2jMaev,4,Yes,Little girls speaking foreign languages are my kryptonite,,2021-11-27
